gene_id	est_counts	tpm	fpkm	type	biotype	classification
ENSLOCG00000000001	6990	12.3609370268521	13.4708212395654	genic	protein_coding	coding_2
ENSLOCG00000000002	535	0.544848966212648	0.593770764341618	genic	protein_coding	coding_1
ENSLOCG00000000003	16849	34.6788141869795	37.7926127847828	genic	protein_coding	coding_3
ENSLOCG00000000004	10700	17.2425806787326	18.7907859677158	genic	protein_coding	coding_3
ENSLOCG00000000005	25637.084	14.5688826459024	15.8770175235767	genic	protein_coding	coding_2
ENSLOCG00000000006	141065	182.068732948688	198.416620806177	genic	protein_coding	coding_1
ENSLOCG00000000007	25955	27.2538335774023	29.7009457629724	genic	protein_coding	coding_3
ENSLOCG00000000008	273.6976	0.5576992548559	0.607774875908082	genic	protein_coding	coding_1
ENSLOCG00000000009	8715	43.9997666084923	47.950490264454	genic	protein_coding	coding_3
ENSLOCG00000000010	14709	14.9036305514431	16.2418223264861	genic	protein_coding	coding_2
ENSLOCG00000000011	9594.49115	8.83346613652558	9.62661997164095	genic	protein_coding	coding_2
ENSLOCG00000000012	66827	27.1164809199051	29.551260258394	genic	protein_coding	coding_3
ENSLOCG00000000013	10093	18.1262076537373	19.7537534997798	genic	protein_coding	coding_3
ENSLOCG00000000014	12788	28.4098281673042	30.9607367028215	genic	protein_coding	coding_3
ENSLOCG00000000015	2552	5.98121971537122	6.5182713418328	genic	protein_coding	coding_2
ENSLOCG00000000016	3273	6.90096737067672	7.5206028174495	genic	protein_coding	coding_2
ENSLOCG00000000017	489472	9480.47202151161	10331.7202887658	genic	protein_coding	coding_1
ENSLOCG00000000018	878.9996113	1.00148985591829	1.09141327983522	genic	protein_coding	coding_3
ENSLOCG00000000019	3	0.00686266694349982	0.007478863408311	genic	protein_coding	coding_1
ENSLOCG00000000020	8164.7683	3.52295167707552	3.83927627609611	genic	protein_coding	coding_2
ENSLOCG00000000021	91.624	0.319942811845012	0.348670365028601	genic	protein_coding	coding_1
ENSLOCG00000000022	9618.001	5.82722354111938	6.35044790495119	genic	protein_coding	coding_2
ENSLOCG00000000023	5690.00005	8.62382264459126	9.3981526638834	genic	protein_coding	coding_2
ENSLOCG00000000024	10396	6.02688252966256	6.56803420424993	genic	protein_coding	coding_2
ENSLOCG00000000025	1129	0.534691095919425	0.582700822427227	genic	protein_coding	coding_1
ENSLOCG00000000026	12857.99782	3.57755439960803	3.8987817579889	genic	protein_coding	coding_2
ENSLOCG00000000027	1007	2.14149955919715	2.33378405568169	genic	protein_coding	coding_2
ENSLOCG00000000028	1743.84671	2.14036041615654	2.33254262938586	genic	protein_coding	coding_2
ENSLOCG00000000029	933	3.03200898225753	3.30425200840533	genic	protein_coding	coding_2
ENSLOCG00000000030	842.7729	1.7050883849029	1.85818767467141	genic	protein_coding	coding_2
ENSLOCG00000000031	9573.041	15.989233563245	17.4249012530553	genic	protein_coding	coding_2
ENSLOCG00000000032	14	0.0676912402346474	0.0737692130220026	genic	protein_coding	coding_1
ENSLOCG00000000033	1973.632404	2.81846168281132	3.07153037162467	genic	protein_coding	coding_2
ENSLOCG00000000034	1208.0172	0.581254065271255	0.633444664512928	genic	protein_coding	coding_1
ENSLOCG00000000035	14977.70895	21.6582199210463	23.6029039133377	genic	protein_coding	coding_3
ENSLOCG00000000036	910.84015	1.87534447437958	2.04373099887943	genic	protein_coding	coding_2
ENSLOCG00000000037	323	0.99903136894126	1.08873404617233	genic	protein_coding	coding_3
ENSLOCG00000000038	216.89758	10.965865864896	11.9504871258685	genic	protein_coding	coding_2
ENSLOCG00000000039	1970.7856	4.34309715741648	4.73306233229161	genic	protein_coding	coding_2
ENSLOCG00000000040	25831.019731617	7.46844313714779	8.1390320345316	genic	protein_coding	coding_2
ENSLOCG00000000041	8301.9292	9.70932972521511	10.5811270456476	genic	protein_coding	coding_2
ENSLOCG00000000042	5184.6041	3.83416312497337	4.17843129106234	genic	protein_coding	coding_2
ENSLOCG00000000043	6563	2.16828470005015	2.36297422496445	genic	protein_coding	coding_2
ENSLOCG00000000044	858.091	2.03486818855289	2.21757829155892	genic	protein_coding	coding_2
ENSLOCG00000000045	49932.08	53.7259445798017	58.54997835432	genic	protein_coding	coding_3
ENSLOCG00000000046	3578.99976	3.76798253101442	4.1063083647168	genic	protein_coding	coding_2
ENSLOCG00000000047	3514.65288	0.898002742341557	0.978634094522465	genic	protein_coding	coding_3
ENSLOCG00000000048	6565	63.3619335465683	69.0511794004673	genic	protein_coding	coding_3
ENSLOCG00000000049	727.02497	0.715625080390989	0.77988080608737	genic	protein_coding	coding_1
ENSLOCG00000000050	57874	58.9678570819042	64.2625603467591	genic	protein_coding	coding_3
ENSLOCG00000000051	319.12183	0.222882905108146	0.2428954832101	genic	protein_coding	coding_1
ENSLOCG00000000052	1637.83245	0.675416764177167	0.73606219922256	genic	protein_coding	coding_1
ENSLOCG00000000053	12142.3883	7.08217565959704	7.71808173525892	genic	protein_coding	coding_2
ENSLOCG00000000054	6779.47284	4.49846259667104	4.90237798000163	genic	protein_coding	coding_2
ENSLOCG00000000055	130225.5566	107.743328644922	117.417564443422	genic	protein_coding	coding_1
ENSLOCG00000000056	760.60889	1.44210740870944	1.57159372859656	genic	protein_coding	coding_3
ENSLOCG00000000057	6990.564	6.98122688467117	7.60806880513675	genic	protein_coding	coding_2
ENSLOCG00000000058	1455.69477	4.16294884631431	4.53673856733791	genic	protein_coding	coding_2
ENSLOCG00000000059	1625.14533	3.15725914559211	3.44074834010262	genic	protein_coding	coding_2
ENSLOCG00000000060	6067	2.54507003144987	2.77359097949934	genic	protein_coding	coding_2
ENSLOCG00000000061	966.12617	2.12179951575769	2.31231515223139	genic	protein_coding	coding_2
ENSLOCG00000000062	21.98382	0.157144891772016	0.17125487664674	genic	protein_coding	coding_1
ENSLOCG00000000063	1261.28875	1.09643684356472	1.19488552429711	genic	protein_coding	coding_3
ENSLOCG00000000064	137.08146	0.480287595298509	0.52341245051182	genic	protein_coding	coding_1
ENSLOCG00000000065	1176	6.43423243137616	7.01195991117799	genic	protein_coding	coding_2
ENSLOCG00000000066	311.47572	0.76255494985768	0.83102449212093	genic	protein_coding	coding_1
