JH422273.1_3017_4676 JH422273.1- 3017-4676	48.13
JH422273.1_327440_328808 JH422273.1+ 327440-328808	42.44
JH422273.1_345008_346113 JH422273.1- 345008-346113	41.68
JH422273.1_433414_435763 JH422273.1- 433414-435763	40.89
JH422273.1_436826_441443 JH422273.1- 436826-441443	45.08
JH422273.1_441725_445512 JH422273.1- 441725-445512	45.83
JH422273.1_445720_446934 JH422273.1+ 445720-446934	44.12
JH422273.1_455756_459909 JH422273.1- 455756-459909	42.87
JH422273.1_668428_669723 JH422273.1+ 668428-669723	36.96
JH422273.1_707218_710434 JH422273.1- 707218-710434	38.33
JH422273.1_763281_764629 JH422273.1- 763281-764629	38.70
JH422273.1_898387_899871 JH422273.1- 898387-899871	36.63
JH422273.1_901328_903796 JH422273.1+ 901328-903796	39.45
JH422273.1_1037825_1040992 JH422273.1+ 1037825-1040992	42.39
JH422273.1_1648752_1650225 JH422273.1+ 1648752-1650225	36.91
JH422273.1_1881486_1883046 JH422273.1+ 1881486-1883046	40.42
JH422273.1_1994831_2001847 JH422273.1- 1994831-2001847	37.14
JH422273.1_2002645_2004092 JH422273.1- 2002645-2004092	33.77
JH422273.1_2004918_2008959 JH422273.1- 2004918-2008959	37.53
JH422273.1_3120231_3122304 JH422273.1+ 3120231-3122304	37.46
JH422273.1_3282983_3285828 JH422273.1- 3282983-3285828	41.71
JH422273.1_3322676_3325487 JH422273.1- 3322676-3325487	36.66
JH422273.1_3335884_3338517 JH422273.1+ 3335884-3338517	35.73
JH422273.1_3339004_3340261 JH422273.1+ 3339004-3340261	39.43
JH422273.1_3401274_3404007 JH422273.1- 3401274-3404007	36.25
JH422273.1_3461596_3464508 JH422273.1+ 3461596-3464508	39.27
JH422273.1_3483617_3484639 JH422273.1- 3483617-3484639	36.36
JH422273.1_3539258_3540722 JH422273.1+ 3539258-3540722	43.14
JH422273.1_3541446_3544213 JH422273.1- 3541446-3544213	35.87
JH422273.1_3620463_3622385 JH422273.1+ 3620463-3622385	37.60
JH422273.1_3622874_3623873 JH422273.1+ 3622874-3623873	40.40
JH422273.1_3626123_3627271 JH422273.1- 3626123-3627271	33.68
JH422273.1_3628209_3630224 JH422273.1+ 3628209-3630224	40.77
JH422273.1_3630472_3632309 JH422273.1- 3630472-3632309	35.58
JH422273.1_3633706_3634715 JH422273.1+ 3633706-3634715	46.24
JH422273.1_3683828_3692089 JH422273.1+ 3683828-3692089	38.54
JH422273.1_3808717_3810381 JH422273.1+ 3808717-3810381	34.53
JH422273.1_3811102_3815488 JH422273.1+ 3811102-3815488	38.09
JH422273.1_3815993_3822145 JH422273.1+ 3815993-3822145	38.63
