1_62512_67190 1- 62512-67190	30.33
1_161539_181538 1- 161539-181538	39.30
1_275345_295344 1+ 275345-295344	51.12
1_389830_409829 1- 389830-409829	42.75
1_468610_469972 1- 468610-469972	42.55
1_471765_484883 1+ 471765-484883	39.57
1_486634_495950 1- 486634-495950	36.84
1_515324_530962 1- 515324-530962	45.87
1_563805_583804 1+ 563805-583804	49.59
1_590028_592821 1- 590028-592821	48.07
1_607770_616032 1- 607770-616032	44.06
1_617096_622745 1- 617096-622745	41.33
1_624122_627769 1+ 624122-627769	46.52
1_642718_654720 1+ 642718-654720	40.79
1_802097_816974 1+ 802097-816974	39.53
1_817497_822096 1+ 817497-822096	38.80
1_865510_875263 1- 865510-875263	43.88
1_1003810_1023809 1+ 1003810-1023809	41.59
1_1298607_1303055 1- 1298607-1303055	36.59
1_1304534_1307278 1- 1304534-1307278	34.39
1_1322439_1342438 1+ 1322439-1342438	39.64
1_1351003_1357435 1+ 1351003-1357435	40.15
1_1553617_1573616 1+ 1553617-1573616	39.54
1_1832484_1852483 1+ 1832484-1852483	35.04
1_2169738_2189737 1+ 2169738-2189737	40.07
1_2533611_2545971 1+ 2533611-2545971	41.55
1_2549786_2553610 1- 2549786-2553610	41.62
1_3032607_3052606 1+ 3032607-3052606	40.78
1_3271931_3291930 1+ 3271931-3291930	40.62
1_3556513_3576512 1+ 3556513-3576512	41.15
1_4281558_4301557 1+ 4281558-4301557	37.70
1_4412819_4432818 1- 4412819-4432818	44.23
1_4541729_4561728 1- 4541729-4561728	44.06
1_4670083_4690082 1- 4670083-4690082	43.34
1_4993951_5013950 1+ 4993951-5013950	35.57
1_5204466_5216010 1+ 5204466-5216010	40.87
1_5346317_5364718 1- 5346317-5364718	41.68
1_5872735_5892734 1+ 5872735-5892734	39.08
1_6146153_6166152 1+ 6146153-6166152	42.04
1_6169877_6175041 1- 6169877-6175041	42.27
1_6304200_6324199 1+ 6304200-6324199	35.59
1_6479757_6499756 1- 6479757-6499756	40.31
1_7063923_7083902 1+ 7063923-7083902	39.28
1_7147929_7167928 1+ 7147929-7167928	39.16
1_7657398_7667584 1- 7657398-7667584	41.44
1_7689600_7709599 1+ 7689600-7709599	37.59
1_7731634_7740032 1+ 7731634-7740032	38.02
1_7946129_7966128 1+ 7946129-7966128	41.44
1_7984496_7998613 1- 7984496-7998613	39.66
1_8103615_8123614 1+ 8103615-8123614	38.50
1_8143069_8156541 1- 8143069-8156541	37.94
1_8157931_8163068 1+ 8157931-8163068	36.34
1_8286458_8306457 1- 8286458-8306457	41.15
1_8476394_8493440 1- 8476394-8493440	43.71
1_8494548_8497000 1+ 8494548-8497000	47.94
1_8546886_8555922 1+ 8546886-8555922	42.60
1_8556154_8565947 1- 8556154-8565947	44.41
1_8633682_8646602 1- 8633682-8646602	44.72
1_9044110_9064109 1- 9044110-9064109	41.55
1_9212868_9232867 1- 9212868-9232867	44.59
1_9542641_9562640 1- 9542641-9562640	42.84
1_9705325_9725324 1- 9705325-9725324	44.56
1_10003420_10007090 1- 10003420-10007090	45.76
1_10019221_10039220 1- 10019221-10039220	48.48
1_10862704_10882703 1+ 10862704-10882703	38.25
1_11435099_11455098 1- 11435099-11455098	40.18
1_11741487_11756150 1- 11741487-11756150	37.66
1_11760435_11761486 1- 11760435-11761486	39.16
1_11833377_11853376 1- 11833377-11853376	33.81
1_12372699_12392698 1- 12372699-12392698	44.05
1_12558371_12578370 1+ 12558371-12578370	37.71
