gene_id	sumUMI	CPM	type	biotype	zScore	pValue	calls_pValue	cellTypeName	cellTypeId
ENSMUSG00000000001	33	20.5406037941607	genic	protein_coding	2.7568181553247	0.00291834003136893	present	B-cell	CL:0000236
ENSMUSG00000000003	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000028	2	1.24488507843398	genic	protein_coding	-0.228723601854587	0.590458125310241	absent	B-cell	CL:0000236
ENSMUSG00000000031	0	0	genic	lincRNA	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000037	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000049	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000056	42	26.1425866471137	genic	protein_coding	3.01365255869928	0.00129061613285543	present	B-cell	CL:0000236
ENSMUSG00000000058	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000078	270	168.059485588588	genic	protein_coding	4.99532921033881	2.93677421964827e-07	present	B-cell	CL:0000236
ENSMUSG00000000085	17	10.5815231666889	genic	protein_coding	2.0504185797077	0.0201618008174391	present	B-cell	CL:0000236
ENSMUSG00000000088	297	184.865434147447	genic	protein_coding	5.09683329223571	1.7269111179372e-07	present	B-cell	CL:0000236
ENSMUSG00000000093	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000094	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000103	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000120	5	3.11221269608496	genic	protein_coding	0.747113918129922	0.227497399748802	absent	B-cell	CL:0000236
ENSMUSG00000000125	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000126	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000127	1	0.622442539216992	genic	protein_coding	-0.966916188696959	0.833207033446457	absent	B-cell	CL:0000236
ENSMUSG00000000131	69	42.9485352059725	genic	protein_coding	3.54235128184201	0.000198288485538592	present	B-cell	CL:0000236
